playerID,Player_Name,teamID,Team_Name,leagueID,League_Name,season,Games_Played,Total_Goals,Total_Assists,Total_Shots,Shots_Converted_Perc,Goals_Per_Game
3423,Kylian Mbappe-Lottin,161,Paris Saint Germain,5,Ligue 1,2017,27,13,8,76,17.0,0.48
3887,Mario Gomez,131,Wolfsburg,3,Bundesliga,2016,33,16,1,84,19.0,0.48
5250,Yussuf Poulsen,136,RasenBallsport Leipzig,3,Bundesliga,2018,31,15,3,65,23.0,0.48
5322,Victor Osimhen,160,Lille,5,Ligue 1,2019,27,13,4,86,15.0,0.48
5555,Dominic Calvert-Lewin,72,Everton,1,Premier League,2020,33,16,0,83,19.0,0.48
6170,André Silva,132,Eintracht Frankfurt,3,Bundesliga,2019,25,12,3,54,22.0,0.48
8025,Kasper Dolberg,170,Nice,5,Ligue 1,2019,23,11,3,42,26.0,0.48
8812,Sasa Kalajdzic,133,VfB Stuttgart,3,Bundesliga,2020,33,16,5,66,24.0,0.48
208,Lars Stindl,130,Borussia M.Gladbach,3,Bundesliga,2020,30,14,8,56,25.0,0.47
468,Callum Wilson,73,Bournemouth,1,Premier League,2018,30,14,9,65,22.0,0.47
594,Romelu Lukaku,89,Manchester United,1,Premier League,2017,34,16,7,86,19.0,0.47
1125,Carlos Bacca,111,AC Milan,2,Serie A,2015,38,18,2,77,23.0,0.47
1384,Dries Mertens,105,Napoli,2,Serie A,2017,38,18,6,128,14.000000000000002,0.47
1425,Nikola Kalinic,110,Fiorentina,2,Serie A,2016,32,15,2,91,16.0,0.47
1612,Domenico Berardi,104,Sassuolo,2,Serie A,2014,32,15,10,95,16.0,0.47
